"Depth(Km)","CO2-mod(GPa)","CO2-Dens(g/cm3)","CO2-Viscosity(Pa.ms)","water-mod(GPa)","water-Dens(g/cm3)","water-Viscosity(Pa.ms)"
-5,0.1694573022597016,0.9733931425011471,0.11369000514266989,2.023072772451611,1.004825388059716,1.7626470817792028
-4,0.048451944477514684,0.7357241015925008,0.06162760920506602,2.3754228653901506,0.9926777565334399,0.4846702622023659
-3,0.04422372166495338,0.5996416784395467,0.048146576239286094,2.127183823940068,0.9603545740542034,0.24834939131305875
-2,0.05702075784601909,0.5492974123871641,0.04601352050838167,1.6879140101903876,0.9164761722614451,0.165315549874708
-1,0.07244515790890349,0.5265592921621387,0.04651425484143642,1.2300803838789236,0.8632864560112541,0.12656716002543097
0,0.08862742057684463,0.5143998827801494,0.04784955375849542,0.8310481677383462,0.8010584517958946,0.10448236431556499
1,0.10508703338554477,0.5072222642751694,0.04950134272865268,0.524963400905118,0.7294769325681263,0.08953213220521958
2,0.12164905496725358,0.5027364916431477,0.05127545827886336,0.31971899767191136,0.649343165447053,0.07803258925431654
3,0.1382365192420984,0.4998479462029422,0.05308679246104375,0.20439495085969983,0.5659217842189397,0.06895345522551385
4,0.15481172807530125,0.4979723361781602,0.05489454808923105,0.15469264765240334,0.491042646796488,0.0625716226027051
5,0.17135512994485086,0.49677137481780176,0.056678364079481756,0.1400885345875797,0.4341158426747014,0.058906930722885435
6,0.18785640244851373,0.49603670107774883,0.058428164979174246,0.1409640370634651,0.3943757065661775,0.05721325507590872
7,0.2043102393760549,0.49563360900585685,0.06013937178722837,0.1486631345044393,0.3669618894134531,0.056717621044845186
8,0.22071418917663918,0.4954715683531904,0.06181045877807386,0.15945962932439633,0.3476328429001186,0.056914002051708185
9,0.2370674746371944,0.4954877851653271,0.06344163100721459,0.1717328702058692,0.33357996472353807,0.057513066246117295
10,0.2533703168096176,0.4956375518301896,0.06503407554135868,0.1847409166634511,0.3230569115235277,0.05835234171835511
11,0.26962353324659505,0.4958883349000279,0.06658952312356778,0.19812447830556085,0.3149726813687923,0.059338375289520746
12,0.28582829245107166,0.4962160193924388,0.06810998546829725,0.21170025725473526,0.3086274622026133,0.06041544389362194
13,0.3019859606583506,0.49660244790965274,0.06959759555245358,0.22537040765162195,0.30355792471939946,0.06154908034952371
14,0.31809800487631573,0.49703376438789926,0.07105451006630042,0.23908073565956237,0.29944764193258294,0.06271724080646707
15,0.3341659310643584,0.4974992730276124,0.07248285023285654,0.2528003859204282,0.2960742818002021,0.06390541277155276
16,0.3501912447051676,0.49799063583503067,0.07388466671470582,0.2665114846122964,0.29327761200153196,0.06510380695748287
17,0.3661754258763316,0.4985012979334996,0.07526191981912796,0.2802036245796516,0.29093953442087267,0.06630568814473008
18,0.3821199138256391,0.49902606927258614,0.07661646947926744,0.2938708135253919,0.28897126459761646,0.06750635036878751
19,0.39802609782839965,0.49956081572375827,0.07795007148250463,0.3075097273632142,0.2873048766672249,0.06870246880870658
20,0.4138953122164889,0.5001022279603167,0.07926437766066521,0.32111868096744367,0.28588758950813775,0.06989167877372032
21,0.4297288341786198,0.5006476464836608,0.08056093854714201,0.3346970063125645,0.2846778187945169,0.07107229551086398
22,0.44552788339248883,0.5011949277317351,0.08184120751661952,0.3482446687160891,0.28364239383035666,0.07224312361148998
23,0.46129362285343084,0.5017423406218142,0.08310654575744024,0.36176202584207234,0.2827545594756801,0.0734033247818516
24,0.477027160467334,0.5022884858963855,0.08435822764804833,0.3752496742219321,0.2819925178035342,0.07455232445621934
25,0.4927295511126676,0.5028322327328527,0.08559744625684539,0.38870835048893865,0.28133834757693155,0.07568974477311226
