d (km bsl),T (K)
-5,273.28169014084506
-4,331.2253521126761
-3,389.169014084507
-2,447.11267605633805
-1,505.056338028169
0,563.0
1,620.943661971831
2,678.887323943662
3,736.830985915493
4,794.7746478873239
5,852.7183098591549
6,910.661971830986
7,968.6056338028169
8,1026.5492957746478
9,1084.4929577464789
10,1142.4366197183099
11,1200.3802816901407
12,1258.323943661972
13,1316.2676056338028
14,1374.2112676056338
15,1432.1549295774648
16,1490.0985915492956
17,1548.0422535211267
18,1605.9859154929577
19,1663.9295774647887
20,1721.8732394366198
21,1779.8169014084506
22,1837.7605633802816
23,1895.7042253521126
24,1953.6478873239437
25,2011.5915492957747
